# log10_L[m]	log10_tau_q[s]
-6.180300500834724708e+00	-4.214789461176786745e+01
-6.110183639398998778e+00	-4.214785677592335134e+01
-6.040066777963271960e+00	-4.214781324422991560e+01
-5.969949916527546030e+00	-4.214776315923875671e+01
-5.899833055091820100e+00	-4.214770553442477308e+01
-5.829716193656093282e+00	-4.214763923475711493e+01
-5.759599332220367351e+00	-4.214756295434543176e+01
-5.689482470784641421e+00	-4.214747519072181348e+01
-5.619365609348915491e+00	-4.214737421525226324e+01
-5.549248747913188673e+00	-4.214725803909529134e+01
-5.479131886477462743e+00	-4.214712437403795064e+01
-5.409015025041736813e+00	-4.214697058743865909e+01
-5.338898163606009994e+00	-4.214679365039059178e+01
-5.268781302170284064e+00	-4.214659007808614177e+01
-5.198664440734558134e+00	-4.214635586120997601e+01
-5.128547579298831316e+00	-4.214608638701211163e+01
-5.058430717863105386e+00	-4.214577634850997612e+01
-4.988313856427379456e+00	-4.214541964003611696e+01
-4.918196994991652637e+00	-4.214500923708053648e+01
-4.848080133555926707e+00	-4.214453705806953110e+01
-4.777963272120200777e+00	-4.214399380537003736e+01
-4.707846410684474847e+00	-4.214336878240283113e+01
-4.637729549248748029e+00	-4.214264968328232186e+01
-4.567612687813022099e+00	-4.214182235086621375e+01
-4.497495826377296169e+00	-4.214087049848445332e+01
-4.427378964941569350e+00	-4.213977538991306915e+01
-4.357262103505843420e+00	-4.213851547135121223e+01
-4.287145242070117490e+00	-4.213706594823427309e+01
-4.217028380634390672e+00	-4.213539829865576536e+01
-4.146911519198664742e+00	-4.213347971395750591e+01
-4.076794657762938812e+00	-4.213127245565891599e+01
-4.006677796327211993e+00	-4.212873311631032891e+01
-3.936560934891486951e+00	-4.212581177004351929e+01
-3.866444073455760133e+00	-4.212245099652771785e+01
-3.796327212020033315e+00	-4.211858475968765703e+01
-3.726210350584308273e+00	-4.211413711986736530e+01
-3.656093489148581455e+00	-4.210902075509057596e+01
-3.585976627712854636e+00	-4.210313526363678704e+01
-3.515859766277129594e+00	-4.209636521627724193e+01
-3.445742904841402776e+00	-4.208857792215653149e+01
-3.375626043405675958e+00	-4.207962086742035979e+01
-3.305509181969950916e+00	-4.206931878024042959e+01
-3.235392320534224098e+00	-4.205747026984342085e+01
-3.165275459098497279e+00	-4.204384398049247551e+01
-3.095158597662772237e+00	-4.202817419409858957e+01
-3.025041736227045419e+00	-4.201015580728363119e+01
-2.954924874791318601e+00	-4.198943860034766828e+01
-2.884808013355593559e+00	-4.196562070683891932e+01
-2.814691151919866741e+00	-4.193824118349461116e+01
-2.744574290484139922e+00	-4.190677157153496069e+01
-2.674457429048414880e+00	-4.187060633211675054e+01
-2.604340567612688062e+00	-4.182905203185215726e+01
-2.534223706176961244e+00	-4.178131514959228809e+01
-2.464106844741236202e+00	-4.172648837441920477e+01
-2.393989983305509384e+00	-4.166353526866579671e+01
-2.323873121869782565e+00	-4.159127318101096904e+01
-2.253756260434057523e+00	-4.150835431616810922e+01
-2.183639398998330705e+00	-4.141324490310262973e+01
-2.113522537562603887e+00	-4.130420245775491139e+01
-2.043405676126878845e+00	-4.117925121470231176e+01
-1.973288814691152027e+00	-4.103615591209731406e+01
-1.903171953255426985e+00	-4.087239426388016739e+01
-1.833055091819700166e+00	-4.068512865218312413e+01
-1.762938230383973348e+00	-4.047117783138892833e+01
-1.692821368948248306e+00	-4.022698976403111004e+01
-1.622704507512521488e+00	-3.994861711715294916e+01
-1.552587646076794670e+00	-3.963169744239698389e+01
-1.482470784641069628e+00	-3.927144064453825223e+01
-1.412353923205342809e+00	-3.886262700179262453e+01
-1.342237061769615991e+00	-3.839961971164464671e+01
-1.272120200333890949e+00	-3.787639665003049316e+01
-1.202003338898164131e+00	-3.728660667074091606e+01
-1.131886477462437313e+00	-3.662365621880385191e+01
-1.061769616026712271e+00	-3.588083212549500445e+01
